date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2017-01-01,11,6,0.0,3.7,2,20,09:57 AM,09:07 PM,07:43 AM,05:41 PM,9,8,9,8,15,100,99,25.9,1020,11,6,108,9,30320
2017-01-02,14,11,0.0,3.7,3,27,10:36 AM,10:07 PM,07:43 AM,05:42 PM,13,13,13,13,13,100,98,15.6,1019,14,6,88,8,30320
2017-01-03,17,14,0.0,3.8,4,34,11:14 AM,11:07 PM,07:43 AM,05:43 PM,14,15,15,15,15,82,94,4.5,1012,17,9,233,10,30320
2017-01-04,10,4,0.0,7.1,2,41,11:50 AM,No moonset,07:43 AM,05:43 PM,6,7,9,7,19,51,81,0.1,1014,10,9,314,13,30320
2017-01-05,12,1,0.0,8.7,3,49,12:27 PM,12:09 AM,07:43 AM,05:44 PM,1,5,6,5,9,23,70,0.0,1015,12,10,203,6,30320
2017-01-06,3,-0,0.0,3.8,1,56,01:06 PM,01:12 AM,07:43 AM,05:45 PM,-0,-2,2,-2,13,87,86,20.5,1018,3,8,330,10,30320
2017-01-07,-4,-7,0.8,8.7,1,63,01:48 PM,02:17 AM,07:43 AM,05:46 PM,-7,-12,-5,-12,25,47,89,12.8,1028,-4,9,322,18,30320
2017-01-08,0,-7,0.0,7.1,1,70,02:33 PM,03:23 AM,07:43 AM,05:47 PM,-12,-9,-4,-9,14,28,56,0.0,1039,0,10,334,11,30320
2017-01-09,7,-3,0.0,8.7,2,78,03:24 PM,04:30 AM,07:43 AM,05:48 PM,-8,-2,1,-2,11,2,54,0.0,1039,7,10,124,8,30320
2017-01-10,9,-2,0.0,7.1,1,85,04:20 PM,05:36 AM,07:43 AM,05:48 PM,-0,1,4,1,18,34,76,0.4,1031,9,9,140,11,30320
2017-01-11,18,9,0.0,5.4,3,92,05:21 PM,06:38 AM,07:43 AM,05:49 PM,10,11,12,11,17,54,90,0.7,1026,18,7,184,9,30320
2017-01-12,19,9,0.0,7.1,4,100,06:24 PM,07:36 AM,07:43 AM,05:50 PM,12,14,14,14,15,59,89,0.0,1027,19,4,190,9,30320
2017-01-13,21,12,0.0,8.7,4,100,07:28 PM,08:27 AM,07:43 AM,05:51 PM,14,15,16,15,8,53,91,1.8,1031,21,6,269,4,30320
2017-01-14,22,10,0.0,8.7,4,86,08:31 PM,09:13 AM,07:43 AM,05:52 PM,13,16,16,16,4,38,87,0.9,1030,22,8,223,3,30320
2017-01-15,22,12,0.0,8.7,4,79,09:32 PM,09:54 AM,07:42 AM,05:53 PM,13,16,17,16,8,19,82,0.0,1026,22,7,269,5,30320
2017-01-16,20,12,0.0,7.1,4,71,10:30 PM,10:30 AM,07:42 AM,05:54 PM,13,15,15,15,13,54,89,2.5,1025,20,9,141,7,30320
2017-01-17,21,12,0.0,5.4,4,64,11:27 PM,11:05 AM,07:42 AM,05:55 PM,14,16,16,16,15,66,89,0.5,1023,21,5,185,9,30320
2017-01-18,18,14,0.0,5.4,4,57,No moonrise,11:38 AM,07:42 AM,05:56 PM,14,16,16,16,15,65,90,0.8,1020,18,5,278,10,30320
2017-01-19,21,11,0.0,5.4,4,50,12:21 AM,12:10 PM,07:41 AM,05:57 PM,14,15,15,15,10,62,89,3.5,1016,21,7,204,6,30320
2017-01-20,21,16,0.0,8.7,4,42,01:16 AM,12:43 PM,07:41 AM,05:58 PM,15,17,17,17,17,75,90,7.0,1011,21,6,212,11,30320
2017-01-21,17,15,0.0,3.8,4,35,02:09 AM,01:19 PM,07:40 AM,05:59 PM,16,16,16,16,10,97,98,20.7,1008,17,2,149,7,30320
2017-01-22,17,10,0.0,5.3,4,28,03:02 AM,01:57 PM,07:40 AM,06:00 PM,14,14,15,14,22,90,96,16.1,996,17,7,146,15,30320
2017-01-23,11,8,0.0,5.3,3,20,03:55 AM,02:37 PM,07:40 AM,06:00 PM,8,7,10,7,23,85,91,15.8,997,11,7,278,15,30320
2017-01-24,14,5,0.0,10.6,4,13,04:46 AM,03:23 PM,07:39 AM,06:01 PM,6,7,9,7,16,21,82,0.0,1011,14,10,300,11,30320
2017-01-25,18,6,0.0,10.0,3,6,05:37 AM,04:11 PM,07:39 AM,06:02 PM,8,11,12,11,15,34,79,0.0,1012,18,9,225,9,30320
2017-01-26,11,6,0.0,10.7,2,0,06:25 AM,05:05 PM,07:38 AM,06:03 PM,7,9,11,9,21,34,81,5.0,1014,11,10,285,14,30320
2017-01-27,6,2,0.0,10.0,1,0,07:12 AM,06:01 PM,07:37 AM,06:04 PM,-0,0,4,0,17,45,77,0.0,1020,6,9,285,13,30320
2017-01-28,9,-0,0.0,10.7,2,1,07:55 AM,06:59 PM,07:37 AM,06:05 PM,-1,1,4,1,18,7,72,0.0,1019,9,9,263,12,30320
2017-01-29,9,1,0.0,8.5,2,8,08:36 AM,08:00 PM,07:36 AM,06:06 PM,1,1,4,1,20,51,82,1.4,1016,9,8,263,13,30320
2017-01-30,12,-0,0.0,10.7,2,16,09:15 AM,09:01 PM,07:36 AM,06:07 PM,2,3,6,3,16,5,80,0.2,1020,12,8,267,11,30320
2017-01-31,19,5,0.0,10.7,4,20,09:52 AM,10:03 PM,07:35 AM,06:08 PM,8,10,11,10,18,20,80,0.0,1019,19,9,229,11,30320
2017-02-01,18,9,0.0,10.8,3,31,10:29 AM,11:06 PM,07:34 AM,06:09 PM,10,13,14,13,19,26,82,0.0,1020,18,9,239,12,30320
2017-02-02,18,10,0.0,8.5,3,39,11:07 AM,No moonset,07:33 AM,06:10 PM,11,12,13,12,13,72,89,1.7,1022,18,7,280,8,30320
2017-02-03,12,3,0.0,10.0,2,46,11:47 AM,12:09 AM,07:33 AM,06:11 PM,3,5,8,5,16,46,73,0.4,1024,12,10,318,11,30320
2017-02-04,8,-1,0.0,10.8,2,54,12:30 PM,01:14 AM,07:32 AM,06:12 PM,-5,0,3,0,14,15,56,0.0,1029,8,10,111,10,30320
2017-02-05,11,2,0.0,7.0,2,62,01:17 PM,02:18 AM,07:31 AM,06:13 PM,3,4,6,4,11,66,84,5.6,1024,11,7,211,7,30320
2017-02-06,17,5,0.0,7.0,3,69,02:09 PM,03:23 AM,07:30 AM,06:14 PM,10,10,11,10,10,62,94,3.3,1022,17,5,223,5,30320
2017-02-07,18,11,0.0,8.5,4,77,03:06 PM,04:24 AM,07:29 AM,06:15 PM,13,14,14,14,15,69,94,18.1,1014,18,7,188,9,30320
2017-02-08,17,13,0.0,5.4,4,84,04:06 PM,05:23 AM,07:29 AM,06:16 PM,15,15,15,15,13,96,97,1.2,1009,17,3,228,9,30320
2017-02-09,8,4,0.0,10.9,3,92,05:09 PM,06:15 AM,07:28 AM,06:17 PM,2,4,7,4,24,34,73,3.5,1021,8,10,315,18,30320
2017-02-10,16,1,0.0,10.9,3,99,06:12 PM,07:03 AM,07:27 AM,06:18 PM,-0,7,8,7,11,2,59,0.0,1029,16,10,221,7,30320
2017-02-11,17,6,0.0,7.0,3,100,07:15 PM,07:46 AM,07:26 AM,06:19 PM,11,12,12,12,15,54,89,1.1,1023,17,6,219,9,30320
2017-02-12,19,15,0.0,5.5,4,86,08:14 PM,08:25 AM,07:25 AM,06:19 PM,16,17,17,17,20,91,96,5.1,1019,19,5,246,13,30320
2017-02-13,16,6,0.0,11.0,4,78,09:13 PM,09:01 AM,07:24 AM,06:20 PM,5,9,10,9,15,7,71,3.5,1021,16,10,326,10,30320
2017-02-14,19,7,0.0,11.0,4,71,10:09 PM,09:35 AM,07:23 AM,06:21 PM,4,12,12,12,6,8,60,0.0,1014,19,10,242,4,30320
2017-02-15,14,7,0.0,11.0,3,63,11:04 PM,10:08 AM,07:22 AM,06:22 PM,7,9,11,9,20,30,78,3.6,1008,14,10,282,14,30320
2017-02-16,14,2,0.0,11.0,3,55,11:58 PM,10:42 AM,07:21 AM,06:23 PM,1,5,8,5,14,0,64,0.0,1017,14,10,301,10,30320
2017-02-17,18,6,0.0,10.1,3,48,No moonrise,11:17 AM,07:20 AM,06:24 PM,5,10,11,10,15,16,66,0.0,1017,18,10,255,9,30320
2017-02-18,13,9,0.0,5.5,3,40,12:52 AM,11:53 AM,07:19 AM,06:25 PM,8,10,11,10,11,81,85,4.0,1015,13,8,197,6,30320
2017-02-19,19,11,0.0,8.6,4,33,01:45 AM,12:32 PM,07:18 AM,06:26 PM,12,14,14,14,12,58,90,0.6,1018,19,8,310,8,30320
2017-02-20,21,10,0.0,5.6,4,25,02:37 AM,01:16 PM,07:17 AM,06:27 PM,10,14,15,14,12,82,79,0.0,1021,21,8,92,7,30320
2017-02-21,20,11,0.0,7.1,4,18,03:28 AM,02:02 PM,07:15 AM,06:28 PM,13,15,15,15,17,73,86,4.7,1018,20,9,105,10,30320
2017-02-22,19,15,0.0,5.6,4,10,04:17 AM,02:53 PM,07:14 AM,06:28 PM,15,16,16,16,15,96,94,3.7,1012,19,9,85,11,30320
2017-02-23,22,13,0.0,10.1,4,3,05:04 AM,03:48 PM,07:13 AM,06:29 PM,14,16,17,16,12,57,86,0.5,1012,22,8,93,8,30320
2017-02-24,24,13,0.0,11.2,4,0,05:49 AM,04:46 PM,07:12 AM,06:30 PM,14,18,18,18,14,43,82,0.0,1011,24,8,161,9,30320
