date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2017-01-01,-3,-6,0.0,8.7,1,20,09:52 AM,08:26 PM,07:51 AM,04:42 PM,-6,-9,-5,-9,20,34,91,0.1,1017,-3,8,158,12,55111
2017-01-02,-0,-4,0.8,3.3,1,27,10:26 AM,09:32 PM,07:51 AM,04:43 PM,-3,-7,-2,-7,21,95,95,0.9,1019,-0,7,94,14,55111
2017-01-03,-4,-15,0.1,3.3,1,34,10:58 AM,10:38 PM,07:51 AM,04:44 PM,-9,-16,-8,-16,29,100,91,0.2,1020,-4,6,284,22,55111
2017-01-04,-17,-20,0.0,3.4,1,41,11:29 AM,11:46 PM,07:51 AM,04:45 PM,-20,-29,-18,-29,30,94,89,0.0,1026,-17,9,296,22,55111
2017-01-05,-18,-21,0.1,3.4,1,49,12:00 PM,No moonset,07:51 AM,04:46 PM,-21,-29,-20,-29,18,100,90,0.1,1024,-18,9,298,13,55111
2017-01-06,-17,-24,0.0,3.4,1,56,12:32 PM,12:56 AM,07:51 AM,04:47 PM,-22,-29,-21,-29,14,80,93,0.0,1029,-17,5,261,9,55111
2017-01-07,-15,-20,0.0,5.1,1,63,01:08 PM,02:07 AM,07:50 AM,04:49 PM,-19,-27,-19,-27,21,47,94,0.0,1039,-15,6,291,12,55111
2017-01-08,-12,-21,0.2,6.9,1,70,01:48 PM,03:19 AM,07:50 AM,04:50 PM,-18,-24,-16,-24,23,54,91,0.2,1035,-12,7,190,14,55111
2017-01-09,-6,-15,4.1,3.4,1,78,02:34 PM,04:31 AM,07:50 AM,04:51 PM,-10,-15,-9,-15,20,95,96,4.8,1020,-6,3,197,13,55111
2017-01-10,-3,-16,5.2,3.4,1,85,03:29 PM,05:40 AM,07:49 AM,04:52 PM,-8,-15,-8,-15,28,99,96,7.3,1003,-3,7,235,19,55111
2017-01-11,-13,-17,4.8,3.4,1,92,04:29 PM,06:43 AM,07:49 AM,04:53 PM,-15,-21,-15,-21,12,97,94,5.6,1016,-13,4,305,9,55111
2017-01-12,-12,-21,0.0,8.7,1,100,05:35 PM,07:39 AM,07:49 AM,04:54 PM,-17,-25,-16,-25,22,43,93,0.0,1027,-12,7,281,14,55111
2017-01-13,-15,-25,0.0,5.2,1,100,06:43 PM,08:26 AM,07:48 AM,04:56 PM,-20,-25,-19,-25,13,48,93,0.0,1045,-15,6,168,8,55111
2017-01-14,-8,-17,0.0,8.7,1,86,07:52 PM,09:07 AM,07:48 AM,04:57 PM,-14,-19,-14,-19,15,23,94,0.0,1037,-8,7,236,9,55111
2017-01-15,-4,-15,0.0,8.7,1,79,08:58 PM,09:42 AM,07:47 AM,04:58 PM,-11,-15,-10,-15,18,9,92,0.0,1029,-4,7,213,10,55111
2017-01-16,-2,-11,0.0,5.2,1,71,10:02 PM,10:13 AM,07:47 AM,04:59 PM,-6,-9,-5,-9,15,72,95,3.3,1022,-2,5,119,8,55111
2017-01-17,-0,-6,5.0,5.3,1,64,11:04 PM,10:42 AM,07:46 AM,05:01 PM,-4,-8,-3,-8,20,66,96,7.4,1016,-0,3,262,12,55111
2017-01-18,1,-7,0.0,7.0,1,57,No moonrise,11:09 AM,07:45 AM,05:02 PM,-3,-8,-2,-8,27,30,96,0.0,1014,1,10,200,14,55111
2017-01-19,2,-1,0.0,7.0,1,50,12:05 AM,11:37 AM,07:45 AM,05:03 PM,-0,-4,0,-4,22,62,97,0.2,1010,2,5,170,11,55111
2017-01-20,1,0,0.0,3.6,1,42,01:04 AM,12:05 PM,07:44 AM,05:05 PM,1,-3,1,-3,16,100,99,1.4,1004,1,1,132,10,55111
2017-01-21,2,-0,0.0,3.6,1,35,02:02 AM,12:36 PM,07:43 AM,05:06 PM,1,-1,1,-1,13,100,99,1.8,999,2,2,183,8,55111
2017-01-22,3,1,0.0,3.6,1,28,03:00 AM,01:10 PM,07:42 AM,05:08 PM,1,-2,1,-2,13,97,97,0.1,1006,3,1,313,8,55111
