date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2017-01-01,4,-2,0.0,8.7,1,20,09:25 AM,08:09 PM,07:20 AM,04:31 PM,-5,-3,0,-3,14,14,67,0.0,1020,4,10,188,10,60666
2017-01-02,3,0,0.0,3.4,1,27,10:00 AM,09:13 PM,07:20 AM,04:32 PM,1,-1,2,-1,18,72,92,12.1,1019,3,7,87,10,60666
2017-01-03,4,-2,0.0,3.4,1,34,10:34 AM,10:17 PM,07:20 AM,04:33 PM,1,-2,2,-2,22,100,92,2.0,1011,4,3,215,16,60666
2017-01-04,-8,-11,0.0,8.7,2,41,11:06 AM,11:24 PM,07:20 AM,04:34 PM,-16,-18,-9,-18,34,21,57,0.0,1019,-8,10,285,28,60666
2017-01-05,-10,-14,0.0,5.2,1,49,11:39 AM,No moonset,07:20 AM,04:35 PM,-19,-21,-12,-21,23,80,56,0.0,1020,-10,10,287,19,60666
2017-01-06,-13,-16,0.0,6.9,1,56,12:13 PM,12:31 AM,07:20 AM,04:36 PM,-20,-24,-15,-24,19,49,64,0.0,1027,-13,10,287,15,60666
2017-01-07,-9,-15,0.0,8.7,2,63,12:51 PM,01:41 AM,07:20 AM,04:37 PM,-20,-21,-13,-21,23,23,57,0.0,1035,-9,9,292,18,60666
2017-01-08,-8,-14,0.0,8.7,1,70,01:33 PM,02:51 AM,07:19 AM,04:38 PM,-19,-19,-11,-19,20,30,54,0.0,1039,-8,10,249,16,60666
2017-01-09,-3,-8,0.0,3.5,1,78,02:20 PM,04:01 AM,07:19 AM,04:39 PM,-10,-12,-5,-12,30,79,69,0.1,1026,-3,9,192,20,60666
2017-01-10,8,-3,0.0,3.5,1,85,03:15 PM,05:10 AM,07:19 AM,04:40 PM,1,-4,3,-4,55,85,89,10.7,1004,8,7,209,36,60666
2017-01-11,6,-3,0.0,3.5,1,92,04:15 PM,06:12 AM,07:19 AM,04:41 PM,-3,-5,1,-5,32,70,78,7.9,1011,6,9,160,22,60666
2017-01-12,-3,-5,0.4,5.2,1,100,05:21 PM,07:09 AM,07:18 AM,04:42 PM,-8,-9,-3,-9,22,65,74,6.3,1021,-3,8,234,17,60666
2017-01-13,-5,-8,0.0,5.2,1,100,06:27 PM,07:58 AM,07:18 AM,04:43 PM,-12,-12,-6,-12,20,86,64,0.0,1040,-5,10,153,15,60666
2017-01-14,1,-3,0.0,5.2,1,86,07:34 PM,08:40 AM,07:18 AM,04:44 PM,-9,-4,-1,-4,9,62,57,0.0,1034,1,10,219,6,60666
2017-01-15,1,-3,0.0,8.7,2,79,08:39 PM,09:17 AM,07:17 AM,04:46 PM,-8,-3,-1,-3,7,17,61,0.0,1030,1,10,245,5,60666
2017-01-16,2,-1,0.0,3.5,1,71,09:42 PM,09:50 AM,07:17 AM,04:47 PM,-1,-2,1,-2,17,94,88,14.8,1022,2,8,113,10,60666
2017-01-17,4,1,0.1,3.5,1,64,10:42 PM,10:20 AM,07:16 AM,04:48 PM,2,-1,3,-1,23,100,96,13.9,1012,4,8,227,14,60666
2017-01-18,3,0,0.0,7.0,1,57,11:41 PM,10:49 AM,07:16 AM,04:49 PM,0,-3,1,-3,22,71,93,0.1,1019,3,10,241,15,60666
2017-01-19,5,0,0.0,8.7,1,50,No moonrise,11:18 AM,07:15 AM,04:50 PM,1,-1,2,-1,19,40,92,4.1,1015,5,9,158,11,60666
2017-01-20,5,3,0.0,3.5,1,42,12:38 AM,11:48 AM,07:14 AM,04:52 PM,3,1,4,1,16,99,96,20.6,1005,5,5,109,10,60666
2017-01-21,12,6,0.0,5.2,2,35,01:35 AM,12:19 PM,07:14 AM,04:53 PM,8,7,9,7,24,60,92,0.2,1001,12,9,191,13,60666
2017-01-22,7,4,0.0,3.5,2,28,02:31 AM,12:55 PM,07:13 AM,04:54 PM,4,3,5,3,13,58,91,0.0,1004,7,8,93,8,60666
2017-01-23,5,2,0.0,3.5,1,20,03:27 AM,01:34 PM,07:12 AM,04:55 PM,2,0,4,0,19,90,91,0.2,1008,5,10,340,13,60666
2017-01-24,5,2,0.0,3.5,1,13,04:20 AM,02:17 PM,07:11 AM,04:57 PM,1,0,3,0,11,83,86,0.4,1011,5,10,232,8,60666
2017-01-25,5,2,1.0,3.6,1,6,05:11 AM,03:06 PM,07:11 AM,04:58 PM,2,-2,3,-2,27,99,94,4.3,1002,5,9,180,18,60666
2017-01-26,1,-1,1.1,3.6,1,0,05:59 AM,04:00 PM,07:10 AM,04:59 PM,-2,-6,-0,-6,29,100,87,1.8,1010,1,4,295,21,60666
2017-01-27,-2,-4,0.4,3.7,1,0,06:43 AM,04:59 PM,07:09 AM,05:01 PM,-5,-9,-3,-9,28,98,81,0.5,1013,-2,8,267,22,60666
2017-01-28,0,-3,0.5,3.7,1,1,07:24 AM,06:00 PM,07:08 AM,05:02 PM,-5,-8,-2,-8,24,97,81,0.6,1010,0,8,286,18,60666
2017-01-29,-3,-6,0.3,3.7,1,8,08:02 AM,07:04 PM,07:07 AM,05:03 PM,-8,-10,-4,-10,20,71,75,0.4,1012,-3,8,302,15,60666
2017-01-30,-2,-9,0.0,5.4,1,16,08:36 AM,08:10 PM,07:06 AM,05:04 PM,-9,-11,-5,-11,22,52,74,0.2,1013,-2,9,244,16,60666
2017-01-31,3,1,0.7,3.8,1,20,09:10 AM,09:17 PM,07:05 AM,05:06 PM,-0,-4,2,-4,35,100,86,2.1,1007,3,5,271,23,60666
2017-02-01,2,-4,0.2,5.4,1,31,09:43 AM,10:23 PM,07:04 AM,05:07 PM,-3,-5,-0,-5,27,65,80,0.2,1019,2,10,292,18,60666
2017-02-02,-5,-9,0.0,8.7,2,39,10:16 AM,11:32 PM,07:03 AM,05:08 PM,-15,-15,-7,-15,26,12,52,0.0,1030,-5,10,295,20,60666
2017-02-03,-3,-10,0.0,8.7,1,46,10:52 AM,No moonset,07:02 AM,05:10 PM,-17,-13,-7,-13,22,24,47,0.0,1032,-3,10,296,17,60666
2017-02-04,-1,-8,0.0,5.4,1,54,11:31 AM,12:40 AM,07:01 AM,05:11 PM,-18,-10,-4,-10,29,50,34,0.0,1025,-1,10,209,19,60666
2017-02-05,2,-3,0.0,8.7,2,62,12:15 PM,01:49 AM,07:00 AM,05:12 PM,-6,-5,-1,-5,24,21,66,0.0,1017,2,10,247,16,60666
2017-02-06,9,-1,0.0,7.1,1,69,01:05 PM,02:55 AM,06:58 AM,05:14 PM,-0,-0,3,-0,18,45,80,0.1,1014,9,9,176,11,60666
2017-02-07,10,1,0.0,4.0,2,77,02:01 PM,03:58 AM,06:57 AM,05:15 PM,5,2,6,2,26,99,94,1.8,999,10,4,192,16,60666
2017-02-08,-2,-6,0.6,4.0,1,84,03:02 PM,04:56 AM,06:56 AM,05:16 PM,-8,-8,-2,-8,22,72,68,0.7,1015,-2,8,296,18,60666
2017-02-09,-4,-10,0.0,8.7,2,92,04:07 PM,05:48 AM,06:55 AM,05:17 PM,-17,-15,-7,-15,25,7,46,0.0,1027,-4,10,288,20,60666
2017-02-10,4,-8,0.0,8.7,2,99,05:14 PM,06:32 AM,06:54 AM,05:19 PM,-7,-8,-2,-8,37,35,70,0.0,1015,4,10,206,25,60666
2017-02-11,6,1,0.0,7.1,1,100,06:19 PM,07:12 AM,06:52 AM,05:20 PM,2,1,4,1,16,62,89,0.0,1012,6,10,203,9,60666
2017-02-12,6,0,0.0,8.7,2,86,07:24 PM,07:47 AM,06:51 AM,05:21 PM,-1,-3,2,-3,35,30,78,0.1,1020,6,10,224,23,60666
