date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2017-01-01,18,10,0.0,8.7,3,20,09:48 AM,09:01 PM,07:31 AM,05:33 PM,9,13,13,13,11,16,73,0.8,1011,18,9,160,6,75261
2017-01-02,22,14,0.0,8.7,4,27,10:26 AM,10:00 PM,07:31 AM,05:34 PM,11,16,17,16,22,35,74,2.5,1010,22,9,222,13,75261
2017-01-03,12,4,0.0,8.7,3,34,11:04 AM,11:00 PM,07:31 AM,05:35 PM,2,7,10,7,29,13,57,0.0,1017,12,10,303,19,75261
2017-01-04,6,-1,0.0,5.4,1,41,11:42 AM,No moonset,07:31 AM,05:35 PM,-8,-1,2,-1,15,42,48,0.0,1023,6,10,181,11,75261
2017-01-05,4,-3,0.0,7.1,1,49,12:19 PM,12:01 AM,07:32 AM,05:36 PM,-5,-3,1,-3,25,22,63,0.0,1018,4,10,85,18,75261
2017-01-06,-3,-6,0.1,3.8,1,56,12:58 PM,01:04 AM,07:32 AM,05:37 PM,-12,-11,-4,-11,28,48,54,0.1,1029,-3,9,138,22,75261
2017-01-07,5,-7,0.0,8.7,2,63,01:40 PM,02:08 AM,07:32 AM,05:38 PM,-12,-6,-2,-6,11,1,51,0.0,1041,5,10,280,8,75261
2017-01-08,6,-2,0.0,8.7,2,70,02:26 PM,03:15 AM,07:32 AM,05:39 PM,-12,-3,1,-3,23,2,38,0.0,1037,6,10,168,15,75261
2017-01-09,16,1,0.0,5.4,2,78,03:17 PM,04:21 AM,07:32 AM,05:40 PM,6,5,8,5,41,45,85,0.0,1025,16,10,178,24,75261
2017-01-10,24,14,0.0,8.7,5,85,04:13 PM,05:27 AM,07:32 AM,05:40 PM,9,16,17,16,33,11,63,0.0,1014,24,10,199,19,75261
2017-01-11,24,15,0.0,8.7,4,92,05:15 PM,06:29 AM,07:31 AM,05:41 PM,14,18,19,18,40,31,79,0.0,1012,24,10,188,25,75261
2017-01-12,21,11,0.0,3.8,4,100,06:18 PM,07:27 AM,07:31 AM,05:42 PM,13,17,18,17,26,92,76,0.6,1017,21,8,131,17,75261
2017-01-13,9,6,0.0,3.8,2,100,07:22 PM,08:18 AM,07:31 AM,05:43 PM,4,6,8,6,17,100,76,3.3,1028,9,7,222,13,75261
2017-01-14,7,5,0.0,3.8,2,86,08:24 PM,09:03 AM,07:31 AM,05:44 PM,4,4,6,4,12,100,84,2.5,1030,7,5,258,10,75261
2017-01-15,16,8,0.0,3.8,3,79,09:25 PM,09:44 AM,07:31 AM,05:45 PM,11,11,12,11,26,98,94,26.2,1020,16,6,63,14,75261
2017-01-16,18,9,0.0,8.7,3,71,10:23 PM,10:21 AM,07:31 AM,05:46 PM,10,13,14,13,15,33,80,0.7,1015,18,7,284,10,75261
