date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2017-01-01,7,-4,0.0,8.7,2,20,09:30 AM,08:23 PM,07:21 AM,04:45 PM,-11,-2,-0,-2,12,22,47,0.0,1007,7,10,197,6,80249
2017-01-02,8,-5,0.0,8.7,2,27,10:06 AM,09:26 PM,07:21 AM,04:46 PM,-9,-5,-0,-5,23,13,56,0.0,1010,8,10,167,14,80249
2017-01-03,-1,-8,0.1,8.7,1,34,10:41 AM,10:29 PM,07:21 AM,04:47 PM,-11,-10,-6,-10,12,31,66,0.2,1023,-1,10,133,8,80249
2017-01-04,-4,-18,2.2,7.0,1,41,11:15 AM,11:34 PM,07:21 AM,04:48 PM,-14,-14,-10,-14,12,54,74,2.6,1018,-4,7,208,8,80249
2017-01-05,-16,-23,9.9,3.5,1,49,11:49 AM,No moonset,07:21 AM,04:49 PM,-20,-22,-19,-22,9,97,94,11.6,1025,-16,4,196,7,80249
2017-01-06,-7,-27,0.0,8.7,2,56,12:24 PM,12:41 AM,07:21 AM,04:50 PM,-20,-21,-17,-21,12,10,74,0.0,1030,-7,10,221,6,80249
2017-01-07,-4,-15,0.0,8.7,2,63,01:03 PM,01:49 AM,07:21 AM,04:51 PM,-15,-16,-11,-16,17,5,71,0.0,1034,-4,10,210,8,80249
2017-01-08,4,-8,0.0,8.7,2,70,01:47 PM,02:58 AM,07:20 AM,04:52 PM,-5,-5,-1,-5,23,9,78,0.0,1022,4,10,190,11,80249
2017-01-09,10,1,0.0,8.7,3,78,02:35 PM,04:07 AM,07:20 AM,04:53 PM,-0,2,6,2,52,17,65,0.0,1008,10,10,237,25,80249
2017-01-10,8,-1,0.0,8.7,1,85,03:31 PM,05:15 AM,07:20 AM,04:54 PM,-6,-2,3,-2,34,10,53,0.1,1008,8,10,250,18,80249
2017-01-11,11,-2,0.0,8.7,2,92,04:31 PM,06:17 AM,07:20 AM,04:55 PM,-5,0,3,0,27,14,55,0.0,1003,11,10,215,15,80249
2017-01-12,5,-4,0.3,7.0,1,100,05:36 PM,07:14 AM,07:20 AM,04:56 PM,-8,-4,0,-4,22,31,56,0.5,1018,5,9,162,13,80249
2017-01-13,3,-5,0.0,8.7,2,100,06:42 PM,08:03 AM,07:19 AM,04:57 PM,-7,-4,-3,-4,6,26,70,0.0,1027,3,10,122,4,80249
2017-01-14,5,-4,0.0,7.0,1,86,07:48 PM,08:46 AM,07:19 AM,04:58 PM,-5,-2,-1,-2,8,37,76,0.1,1028,5,10,196,4,80249
2017-01-15,3,-4,0.8,7.0,1,79,08:51 PM,09:24 AM,07:18 AM,04:59 PM,-4,-3,-1,-3,6,47,85,1.0,1019,3,8,199,4,80249
2017-01-16,-0,-5,2.8,5.4,1,71,09:53 PM,09:57 AM,07:18 AM,05:00 PM,-3,-6,-2,-6,18,81,92,3.3,1019,-0,6,313,12,80249
2017-01-17,4,-5,0.0,8.7,2,64,10:52 PM,10:28 AM,07:18 AM,05:02 PM,-6,-5,-2,-5,16,6,76,0.0,1021,4,10,208,8,80249
2017-01-18,6,-4,0.0,8.7,2,57,11:50 PM,10:59 AM,07:17 AM,05:03 PM,-7,-5,-1,-5,22,1,64,0.0,1016,6,10,224,10,80249
2017-01-19,7,-4,0.0,8.7,2,50,No moonrise,11:29 AM,07:17 AM,05:04 PM,-6,-3,-0,-3,17,2,63,0.0,1005,7,10,189,9,80249
2017-01-20,3,-3,2.2,5.4,1,42,12:46 AM,12:00 PM,07:16 AM,05:05 PM,-4,-3,-1,-3,10,61,78,2.8,999,3,7,200,5,80249
2017-01-21,2,-5,0.0,8.7,2,35,01:42 AM,12:32 PM,07:15 AM,05:06 PM,-7,-5,-3,-5,14,33,73,0.1,1000,2,10,233,7,80249
2017-01-22,5,-3,0.0,8.7,2,28,02:37 AM,01:09 PM,07:15 AM,05:07 PM,-10,-3,-0,-3,17,18,51,0.0,1015,5,10,229,9,80249
2017-01-23,10,-2,0.0,8.7,1,20,03:32 AM,01:48 PM,07:14 AM,05:09 PM,-6,-1,3,-1,21,43,54,0.0,1005,10,10,214,12,80249
2017-01-24,0,-6,0.3,8.7,1,13,04:24 AM,02:32 PM,07:13 AM,05:10 PM,-6,-7,-3,-7,17,46,78,0.5,1006,0,9,170,12,80249
2017-01-25,-2,-9,0.0,8.7,2,6,05:15 AM,03:22 PM,07:13 AM,05:11 PM,-13,-9,-7,-9,9,37,60,0.0,1022,-2,10,90,6,80249
2017-01-26,-3,-10,0.0,8.7,1,0,06:03 AM,04:15 PM,07:12 AM,05:12 PM,-17,-11,-7,-11,11,15,46,0.1,1031,-3,10,146,7,80249
2017-01-27,3,-10,0.0,8.7,2,0,06:48 AM,05:14 PM,07:11 AM,05:13 PM,-19,-10,-5,-10,19,12,34,0.0,1035,3,10,237,11,80249
2017-01-28,7,-5,0.0,8.7,2,1,07:30 AM,06:14 PM,07:10 AM,05:14 PM,-13,-5,-1,-5,20,29,40,0.0,1033,7,10,285,11,80249
2017-01-29,13,-1,0.0,8.7,3,8,08:07 AM,07:18 PM,07:10 AM,05:16 PM,-8,-0,3,-0,27,5,46,0.0,1030,13,10,276,15,80249
2017-01-30,14,2,0.0,8.7,3,16,08:43 AM,08:22 PM,07:09 AM,05:17 PM,-7,2,6,2,27,5,43,0.0,1022,14,10,249,14,80249
2017-01-31,15,2,0.0,8.7,3,20,09:18 AM,09:27 PM,07:08 AM,05:18 PM,-8,4,6,4,23,7,36,0.0,1015,15,10,219,12,80249
2017-02-01,5,-5,0.2,8.7,2,31,09:52 AM,10:33 PM,07:07 AM,05:19 PM,-8,-4,-1,-4,14,13,62,0.2,1021,5,10,84,9,80249
2017-02-02,-0,-6,0.3,8.7,1,39,10:27 AM,11:40 PM,07:06 AM,05:21 PM,-9,-7,-4,-7,10,28,69,0.3,1025,-0,9,114,8,80249
2017-02-03,3,-9,0.0,8.7,1,46,11:04 AM,No moonset,07:05 AM,05:22 PM,-8,-7,-4,-7,15,25,76,0.0,1025,3,10,201,9,80249
2017-02-04,12,1,0.0,8.7,3,54,11:44 AM,12:47 AM,07:04 AM,05:23 PM,-4,1,4,1,31,2,55,0.0,1014,12,10,252,17,80249
2017-02-05,13,1,0.0,8.7,3,62,12:29 PM,01:55 AM,07:03 AM,05:24 PM,-5,3,5,3,20,5,49,0.0,1015,13,10,210,11,80249
