date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2017-01-01,13,11,0.0,3.7,3,20,09:50 AM,09:03 PM,07:33 AM,05:32 PM,9,11,12,11,15,82,81,14.9,1009,13,9,160,10,85034
2017-01-02,14,8,0.0,5.4,3,27,10:29 AM,10:02 PM,07:33 AM,05:33 PM,5,10,11,10,11,51,65,0.0,1019,14,10,123,7,85034
2017-01-03,16,8,0.0,8.7,3,34,11:07 AM,11:03 PM,07:33 AM,05:34 PM,3,12,12,12,8,26,55,0.0,1021,16,10,124,5,85034
2017-01-04,18,11,0.0,8.7,4,41,11:44 AM,No moonset,07:33 AM,05:34 PM,5,14,14,14,5,13,56,0.0,1018,18,10,159,3,85034
2017-01-05,19,10,0.0,8.7,4,49,12:20 PM,12:04 AM,07:33 AM,05:35 PM,5,14,14,14,10,19,54,0.0,1013,19,10,156,6,85034
2017-01-06,19,11,0.0,8.7,5,56,01:00 PM,01:07 AM,07:33 AM,05:36 PM,7,14,15,14,13,16,64,0.3,1016,19,10,239,8,85034
2017-01-07,18,8,0.0,8.7,4,63,01:42 PM,02:12 AM,07:33 AM,05:37 PM,-2,13,13,13,14,18,37,0.0,1024,18,10,49,8,85034
2017-01-08,23,11,0.0,8.7,5,70,02:27 PM,03:19 AM,07:33 AM,05:38 PM,-0,16,16,16,13,7,34,0.0,1025,23,10,102,7,85034
2017-01-09,21,13,0.0,8.7,4,78,03:19 PM,04:25 AM,07:33 AM,05:39 PM,5,16,16,16,10,22,48,0.2,1020,21,10,109,6,85034
2017-01-10,20,11,0.0,8.7,5,85,04:15 PM,05:31 AM,07:33 AM,05:39 PM,6,15,15,15,8,19,55,0.0,1017,20,10,84,4,85034
2017-01-11,20,11,0.0,8.7,5,92,05:16 PM,06:33 AM,07:33 AM,05:40 PM,4,15,15,15,6,19,50,0.0,1015,20,10,180,4,85034
2017-01-12,20,10,0.0,8.7,5,100,06:19 PM,07:30 AM,07:33 AM,05:41 PM,6,15,15,15,9,7,56,0.0,1015,20,10,170,5,85034
2017-01-13,21,13,0.0,3.8,4,100,07:24 PM,08:21 AM,07:33 AM,05:42 PM,2,16,16,16,11,71,40,0.0,1015,21,10,163,6,85034
2017-01-14,21,11,0.0,8.7,4,86,08:26 PM,09:06 AM,07:33 AM,05:43 PM,5,15,15,15,13,37,52,1.1,1014,21,10,139,8,85034
