date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2017-01-01,12,2,0.0,8.7,3,20,09:07 AM,08:12 PM,06:51 AM,04:37 PM,1,6,7,6,16,16,67,0.0,1008,12,10,169,11,89119
2017-01-02,12,6,0.0,7.0,2,27,09:45 AM,09:13 PM,06:52 AM,04:38 PM,1,4,8,4,32,26,62,0.0,1014,12,10,201,23,89119
2017-01-03,12,4,0.0,8.7,3,34,10:21 AM,10:14 PM,06:52 AM,04:39 PM,2,6,7,6,12,28,68,0.0,1020,12,10,179,7,89119
2017-01-04,14,3,0.0,8.7,4,41,10:57 AM,11:18 PM,06:52 AM,04:40 PM,3,7,8,7,13,27,70,0.2,1016,14,10,210,9,89119
2017-01-05,16,8,0.0,8.7,4,49,11:33 AM,No moonset,06:52 AM,04:41 PM,5,9,11,9,35,16,67,0.0,1009,16,10,209,25,89119
2017-01-06,5,0,0.0,8.7,2,56,12:10 PM,12:22 AM,06:52 AM,04:41 PM,-14,1,3,1,14,5,30,0.0,1023,5,10,43,11,89119
2017-01-07,7,-1,0.0,8.7,1,63,12:51 PM,01:28 AM,06:52 AM,04:42 PM,-9,2,3,2,6,46,41,0.1,1027,7,10,96,4,89119
2017-01-08,13,1,0.0,8.7,3,70,01:36 PM,02:35 AM,06:52 AM,04:43 PM,-3,7,7,7,5,16,52,0.0,1024,13,10,80,3,89119
2017-01-09,15,6,0.0,8.7,3,78,02:26 PM,03:43 AM,06:52 AM,04:44 PM,3,9,11,9,30,30,57,0.8,1017,15,10,212,20,89119
2017-01-10,14,4,0.0,8.7,4,85,03:23 PM,04:49 AM,06:52 AM,04:45 PM,1,7,9,7,27,15,58,0.0,1014,14,10,208,18,89119
2017-01-11,15,9,0.0,8.7,4,92,04:23 PM,05:52 AM,06:51 AM,04:46 PM,3,8,11,8,39,10,61,0.0,1011,15,10,225,26,89119
2017-01-12,12,8,0.0,3.7,3,100,05:28 PM,06:48 AM,06:51 AM,04:47 PM,4,8,10,8,18,95,69,2.7,1013,12,8,166,13,89119
2017-01-13,12,6,0.0,7.0,2,100,06:32 PM,07:39 AM,06:51 AM,04:48 PM,4,6,8,6,16,58,77,12.5,1018,12,8,65,11,89119
2017-01-14,13,5,0.0,8.7,3,86,07:36 PM,08:23 AM,06:51 AM,04:49 PM,1,6,9,6,22,28,57,0.4,1019,13,10,227,14,89119
2017-01-15,13,4,0.0,8.7,3,79,08:38 PM,09:02 AM,06:50 AM,04:50 PM,-1,8,8,8,9,12,54,0.0,1017,13,10,118,6,89119
2017-01-16,10,3,0.0,8.7,3,71,09:38 PM,09:38 AM,06:50 AM,04:51 PM,-6,5,7,5,15,5,42,0.0,1020,10,10,63,11,89119
2017-01-17,14,2,0.0,8.7,3,64,10:34 PM,10:10 AM,06:50 AM,04:52 PM,-6,7,7,7,7,0,39,0.0,1021,14,10,86,5,89119
2017-01-18,12,1,0.0,8.7,3,57,11:31 PM,10:42 AM,06:49 AM,04:53 PM,-7,7,8,7,10,23,36,0.0,1018,12,10,130,7,89119
2017-01-19,11,5,0.0,7.1,2,50,No moonrise,11:14 AM,06:49 AM,04:54 PM,3,6,8,6,22,41,68,6.8,1011,11,9,207,16,89119
2017-01-20,8,6,0.0,3.8,2,42,12:25 AM,11:47 AM,06:49 AM,04:55 PM,4,4,7,4,29,66,81,10.6,1000,8,7,192,21,89119
2017-01-21,10,3,0.0,8.7,2,35,01:20 AM,12:21 PM,06:48 AM,04:56 PM,-1,4,7,4,19,29,58,1.8,1007,10,10,235,13,89119
2017-01-22,7,5,0.0,3.8,2,28,02:13 AM,12:58 PM,06:48 AM,04:57 PM,2,3,6,3,19,83,73,6.7,1017,7,8,165,13,89119
2017-01-23,9,5,0.0,5.4,2,20,03:07 AM,01:39 PM,06:47 AM,04:58 PM,2,3,7,3,32,49,69,5.3,1007,9,10,231,24,89119
2017-01-24,7,-1,0.0,8.7,2,13,03:59 AM,02:24 PM,06:46 AM,04:59 PM,-4,1,4,1,13,32,56,1.6,1015,7,10,280,8,89119
2017-01-25,7,-2,0.0,8.7,2,6,04:49 AM,03:14 PM,06:46 AM,05:00 PM,-8,1,2,1,10,6,49,0.0,1026,7,10,205,6,89119
2017-01-26,7,1,0.0,8.7,2,0,05:38 AM,04:07 PM,06:45 AM,05:01 PM,-8,1,3,1,9,13,44,0.0,1030,7,10,108,7,89119
2017-01-27,7,1,0.0,8.7,2,0,06:23 AM,05:04 PM,06:45 AM,05:03 PM,-8,-0,4,-0,26,1,43,0.0,1037,7,10,189,18,89119
2017-01-28,11,-0,0.0,8.7,3,1,07:06 AM,06:04 PM,06:44 AM,05:04 PM,-7,3,5,3,11,2,43,0.0,1037,11,10,67,7,89119
2017-01-29,14,2,0.0,8.7,3,8,07:45 AM,07:05 PM,06:43 AM,05:05 PM,-5,7,8,7,10,0,41,0.0,1032,14,10,26,6,89119
2017-01-30,17,2,0.0,8.7,4,16,08:23 AM,08:08 PM,06:42 AM,05:06 PM,-4,9,9,9,5,11,42,0.0,1025,17,10,176,3,89119
2017-01-31,15,3,0.0,8.7,4,20,08:59 AM,09:11 PM,06:42 AM,05:07 PM,-3,9,9,9,6,10,43,0.0,1020,15,10,70,3,89119
2017-02-01,14,4,0.0,8.7,2,31,09:35 AM,10:15 PM,06:41 AM,05:08 PM,-3,9,9,9,5,32,44,0.0,1018,14,10,107,3,89119
2017-02-02,17,6,0.0,8.7,4,39,10:12 AM,11:20 PM,06:40 AM,05:09 PM,-4,11,11,11,5,33,35,0.0,1018,17,10,152,3,89119
2017-02-03,18,7,0.0,8.7,4,46,10:51 AM,No moonset,06:39 AM,05:10 PM,1,12,12,12,20,11,45,0.0,1016,18,10,194,14,89119
2017-02-04,17,6,0.0,8.7,4,54,11:33 AM,12:25 AM,06:38 AM,05:11 PM,4,10,11,10,13,6,61,0.0,1017,17,10,188,8,89119
2017-02-05,16,6,0.0,8.7,4,62,12:19 PM,01:31 AM,06:37 AM,05:12 PM,3,11,11,11,9,16,57,0.0,1014,16,10,106,6,89119
2017-02-06,17,9,0.0,8.7,4,69,01:12 PM,02:35 AM,06:37 AM,05:13 PM,4,11,12,11,31,22,58,0.2,1012,17,10,210,22,89119
2017-02-07,19,10,0.0,8.7,5,77,02:08 PM,03:38 AM,06:36 AM,05:14 PM,7,12,13,12,29,26,66,0.1,1015,19,10,211,20,89119
2017-02-08,19,8,0.0,8.7,4,84,03:10 PM,04:35 AM,06:35 AM,05:15 PM,9,13,13,13,6,15,74,0.0,1019,19,10,163,4,89119
