date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2017-01-01,18,8,0.0,8.7,3,20,09:17 AM,08:28 PM,06:59 AM,04:56 PM,7,12,12,12,10,24,69,0.2,1014,18,10,219,7,90045
2017-01-02,13,11,0.0,3.7,3,27,09:56 AM,09:28 PM,06:59 AM,04:57 PM,8,12,12,12,8,88,76,0.3,1018,13,10,149,7,90045
2017-01-03,15,10,0.0,8.7,4,34,10:33 AM,10:29 PM,06:59 AM,04:57 PM,7,12,12,12,8,32,72,0.0,1021,15,10,163,5,90045
2017-01-04,14,9,0.0,3.6,3,41,11:10 AM,11:31 PM,07:00 AM,04:58 PM,10,12,12,12,7,67,84,2.5,1019,14,8,120,5,90045
2017-01-05,16,12,0.0,3.6,3,49,11:47 AM,No moonset,07:00 AM,04:59 PM,13,13,14,13,13,78,93,10.0,1015,16,8,175,9,90045
2017-01-06,20,11,0.0,8.7,5,56,12:25 PM,12:34 AM,07:00 AM,05:00 PM,9,14,14,14,9,9,73,0.0,1019,20,10,170,6,90045
2017-01-07,18,11,0.0,7.1,4,63,01:07 PM,01:40 AM,07:00 AM,05:01 PM,8,14,14,14,11,53,66,5.7,1022,18,9,74,6,90045
2017-01-08,22,13,0.0,8.7,5,70,01:53 PM,02:46 AM,07:00 AM,05:02 PM,9,17,17,17,11,34,61,0.5,1022,22,10,139,6,90045
2017-01-09,16,12,0.0,7.1,3,78,02:44 PM,03:53 AM,07:00 AM,05:03 PM,11,14,14,14,13,68,82,10.1,1021,16,9,169,9,90045
2017-01-10,14,10,0.0,3.8,3,85,03:41 PM,04:58 AM,07:00 AM,05:03 PM,11,13,13,13,11,85,90,2.0,1020,14,6,236,7,90045
2017-01-11,17,13,0.0,8.7,4,92,04:41 PM,06:00 AM,06:59 AM,05:04 PM,12,14,15,14,16,67,83,6.9,1016,17,9,239,12,90045
2017-01-12,13,10,0.0,3.9,3,100,05:46 PM,06:57 AM,06:59 AM,05:05 PM,10,11,12,11,10,80,86,15.3,1014,13,9,135,7,90045
2017-01-13,17,10,0.0,8.7,3,100,06:49 PM,07:48 AM,06:59 AM,05:06 PM,8,13,13,13,9,10,70,2.0,1017,17,10,141,6,90045
2017-01-14,21,10,0.0,8.7,5,86,07:53 PM,08:33 AM,06:59 AM,05:07 PM,6,14,15,14,19,7,57,0.0,1018,21,10,298,11,90045
2017-01-15,15,10,0.0,5.5,3,79,08:53 PM,09:13 AM,06:59 AM,05:08 PM,10,13,13,13,15,53,80,0.2,1017,15,10,98,10,90045
2017-01-16,21,9,0.0,8.7,5,71,09:52 PM,09:50 AM,06:58 AM,05:09 PM,10,16,16,16,8,11,68,0.0,1018,21,10,212,6,90045
2017-01-17,20,12,0.0,8.7,5,64,10:48 PM,10:23 AM,06:58 AM,05:10 PM,6,15,15,15,11,1,54,0.0,1020,20,10,226,8,90045
2017-01-18,15,9,0.0,8.7,3,57,11:43 PM,10:56 AM,06:58 AM,05:11 PM,8,12,12,12,11,40,78,1.5,1020,15,9,183,7,90045
2017-01-19,16,11,0.0,8.7,3,50,No moonrise,11:29 AM,06:57 AM,05:12 PM,10,13,13,13,21,45,79,22.6,1014,16,9,234,15,90045
2017-01-20,14,10,0.0,7.1,3,42,12:36 AM,12:02 PM,06:57 AM,05:13 PM,9,10,12,10,29,58,85,38.6,1004,14,8,215,20,90045
2017-01-21,15,9,0.0,8.7,4,35,01:30 AM,12:37 PM,06:57 AM,05:14 PM,7,10,12,10,24,16,73,0.0,1012,15,10,257,16,90045
2017-01-22,13,10,0.0,4.0,3,28,02:23 AM,01:16 PM,06:56 AM,05:15 PM,9,9,12,9,32,85,87,26.4,1015,13,8,131,22,90045
2017-01-23,12,10,0.0,7.1,3,20,03:16 AM,01:57 PM,06:56 AM,05:16 PM,7,9,11,9,30,36,74,9.0,1012,12,9,271,20,90045
2017-01-24,14,7,0.0,7.1,3,13,04:08 AM,02:42 PM,06:55 AM,05:17 PM,4,10,10,10,7,29,68,0.1,1017,14,10,205,5,90045
2017-01-25,16,9,0.0,8.7,4,6,04:58 AM,03:32 PM,06:55 AM,05:18 PM,5,12,12,12,9,5,62,0.0,1025,16,10,237,7,90045
2017-01-26,19,8,0.0,8.7,4,0,05:47 AM,04:25 PM,06:54 AM,05:19 PM,2,12,13,12,11,1,47,0.0,1027,19,10,259,8,90045
2017-01-27,20,8,0.0,8.7,4,0,06:32 AM,05:22 PM,06:54 AM,05:20 PM,-1,11,13,11,17,0,39,0.0,1032,20,10,67,11,90045
2017-01-28,24,10,0.0,8.7,5,1,07:16 AM,06:20 PM,06:53 AM,05:21 PM,1,15,16,15,17,0,37,0.0,1031,24,10,239,10,90045
2017-01-29,26,12,0.0,8.7,5,8,07:56 AM,07:21 PM,06:52 AM,05:22 PM,3,17,18,17,17,0,37,0.0,1026,26,10,256,9,90045
2017-01-30,27,15,0.0,8.7,6,16,08:34 AM,08:22 PM,06:52 AM,05:23 PM,5,19,19,19,13,1,40,0.0,1021,27,10,149,8,90045
2017-01-31,24,12,0.0,8.7,5,20,09:12 AM,09:25 PM,06:51 AM,05:24 PM,7,17,18,17,9,10,51,0.0,1019,24,10,170,6,90045
2017-02-01,18,10,0.0,8.7,3,31,09:49 AM,10:28 PM,06:50 AM,05:25 PM,9,15,15,15,7,25,69,0.0,1018,18,10,152,5,90045
2017-02-02,16,9,0.0,7.1,4,39,10:27 AM,11:32 PM,06:49 AM,05:26 PM,8,13,13,13,9,48,71,0.0,1019,16,10,182,5,90045
2017-02-03,14,11,0.0,4.0,3,46,11:07 AM,No moonset,06:49 AM,05:27 PM,10,13,13,13,10,86,83,4.8,1019,14,7,107,7,90045
2017-02-04,17,11,0.0,8.7,3,54,11:50 AM,12:36 AM,06:48 AM,05:28 PM,11,14,14,14,10,39,87,0.2,1019,17,9,290,8,90045
