date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2017-01-01,2,-2,2.0,3.3,1,20,09:57 AM,08:23 PM,07:57 AM,04:29 PM,-1,-3,0,-3,14,95,90,2.3,1008,2,5,38,9,98158
2017-01-02,-0,-5,0.0,5.1,1,27,10:29 AM,09:30 PM,07:57 AM,04:30 PM,-6,-7,-3,-7,18,64,80,0.0,1018,-0,10,52,11,98158
2017-01-03,-1,-6,0.0,8.7,2,34,10:59 AM,10:38 PM,07:57 AM,04:31 PM,-7,-9,-4,-9,20,8,79,0.0,1028,-1,10,32,13,98158
2017-01-04,-0,-7,0.0,8.7,2,41,11:28 AM,11:49 PM,07:57 AM,04:32 PM,-8,-9,-4,-9,19,0,76,0.0,1027,-0,10,49,12,98158
2017-01-05,2,-8,0.0,8.7,2,49,11:58 AM,No moonset,07:56 AM,04:33 PM,-7,-6,-4,-6,10,8,79,0.0,1026,2,10,132,5,98158
2017-01-06,1,-7,0.0,8.7,2,56,12:28 PM,01:00 AM,07:56 AM,04:35 PM,-7,-6,-3,-6,10,28,72,0.0,1020,1,10,159,6,98158
2017-01-07,2,-4,0.0,5.1,1,63,01:03 PM,02:13 AM,07:56 AM,04:36 PM,-8,-5,-2,-5,15,52,62,0.0,1016,2,10,90,10,98158
2017-01-08,3,0,0.0,3.3,1,70,01:42 PM,03:27 AM,07:56 AM,04:37 PM,0,-0,2,-0,12,91,89,6.1,1007,3,7,88,7,98158
2017-01-09,4,-0,0.0,3.3,1,78,02:28 PM,04:40 AM,07:55 AM,04:38 PM,1,-0,3,-0,17,72,93,1.3,1004,4,9,168,10,98158
2017-01-10,3,-2,0.2,6.9,1,85,03:22 PM,05:50 AM,07:55 AM,04:39 PM,-1,-3,1,-3,21,60,91,3.3,1005,3,9,30,14,98158
2017-01-11,1,-3,0.1,3.3,1,92,04:23 PM,06:52 AM,07:54 AM,04:41 PM,-6,-5,-2,-5,17,59,73,0.1,1011,1,10,27,11,98158
2017-01-12,5,-4,0.0,8.7,2,100,05:30 PM,07:47 AM,07:54 AM,04:42 PM,-5,-2,-0,-2,9,12,69,0.0,1025,5,10,70,6,98158
2017-01-13,3,-3,0.0,8.7,2,100,06:39 PM,08:33 AM,07:53 AM,04:43 PM,-5,-2,-1,-2,9,30,71,0.0,1032,3,10,43,6,98158
2017-01-14,5,-2,0.0,8.7,1,86,07:49 PM,09:12 AM,07:53 AM,04:45 PM,-4,-1,0,-1,8,35,72,0.0,1030,5,10,64,5,98158
2017-01-15,5,-2,0.0,8.7,2,79,08:57 PM,09:45 AM,07:52 AM,04:46 PM,-2,0,1,0,3,22,80,0.0,1027,5,10,156,2,98158
2017-01-16,6,-1,0.0,8.7,1,71,10:03 PM,10:14 AM,07:51 AM,04:47 PM,-0,1,3,1,11,42,80,0.0,1023,6,10,164,6,98158
2017-01-17,6,4,0.0,3.4,2,64,11:06 PM,10:41 AM,07:51 AM,04:49 PM,4,3,5,3,13,90,93,20.0,1009,6,9,170,7,98158
